,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,DEVFEST 25 - AGENDA - GDG CHENNAI,,,,,,,,,,,,,,,,,
,,Time slot,Track 1,,Track 2,,,Track 3,,,,,,,,,,,
,,8 - 9:30,Registration ,,,,,,,,,,,,,,,,
,,9:30 - 10:15,Keynote by [ NAME ] ,,,,,,,,,,,,,,,,
,,10:15 - 10:30,Moving between halls and track setup,,,,,,,,,,,,,,,,
,,,10:30 - 11:05,,,,,10:30 to 11:30,,,,,,,,,,,
,,,"Gemma-licious AI: Cooking Up Smart Apps with Flutter
Speaker - Kamal Shree",,"Getting Started with MCP Toolbox for Databases in Google's ADK
Speaker - Aryan Irani",,,"Workshop 1 
Deploy a secure MCP server on Cloud Run 
Speaker - Bhaarat Krishnan",,,,,,,,,,,
,,,11:10 - 11:45,,,,,11:35 - 11:55,,,,,,,,,,,
,,,"AI Agent (and MCP) Vulnerabilities and Security
Speaker - Nikhilesh Tayal",,"From Cloud to Pocket: Refining Stories with Googleâ€™s Gemini API and Gemma On-Device Model
Speaker - Mayur Madnani",,,"Lightning talk 
Solutions Mindset: Exploring new technologies from Developer to Solutionist: Reclaiming Purpose in the Age of AI
Speaker - Eganathan R",,,,,,,,,,,
,,,11:50 - 12:25,,,,,12:00 - 12:20,,,,,,,,,,,
,,,"From Queries to Clusters: Building High-Performance Node.js Backends
Speaker - Hemant Gupta",,"Beyond Code Sharing: Building Smarter Mobile Apps with KMP and Agents (Koog)
Speaker - Rivu Chakraborty",,,"
Lightning talk
Checks and Privacy Sandbox - An Interesting Duo
Speaker - Vijayabharathi Karuppasamy",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,12:30 - 1:30,Lunch,,,,,,,,,,,,,,,,
,,,1:40 - 2:15,,,,,1:50 - 2:50,,,,,,,,,,,
,,,"The Future is Spatial (XR):
 Building for Android XR with Gemini
Speaker : Aditya Shinde",,"A Lightning tour of Vision Language Models
Speaker - Sairam Sundaresan",,,"Workshop 2
Securing your codebase using ADK and A2A
Speaker - Aditya Mahakali",,,,,,,,,,,
,,,2:20 - 2:55,,,,,,,,,,,,,,,,
,,,"Build Super Fast web apps using Local First Approach
Speaker - Varun Raj Manoharan",,"Power of BuildContext in Flutter
Speaker - Abhishek Doshi",,,,,,,,,,,,,,
,,,3 - 3:40,,,,,3 - 3:20,,,,,,,,,,,
,,,Panel 1,,"Memory in Agentic AI 
Speaker - Vipin Kumar Agrahari",,,"Lightning Talk
Building NanoAgents: Create and Deploy Custom Agentic Framework similar to Langchain and Langgraph and submit to PyPi
Speaker - Navuluri Balaji",,,,,,,,,,,
,,,3:45 - 4:20,,,,,3:25 - 3:45,,,,,,,,,,,
,,,"Supercharging Google Cloud Deployments with Gemini CLI: From Code to Cloud in Minutes
Speaker - Jitendra Gupta",,"Rethinking AI UX
Speaker - Sanju Sivalingam",,,"Lightning Talk
Make Me Productive: Building a Chrome Extension to Stay Focused on YouTube
Speaker - Sahithya B A",,,,,,,,,,,
,,,4:25 - 5:00,,,,,3:50 - 4:10,,,,,,,,,,,
,,,Panel 2,,"End to end agent development life cycle using Google ADK
Speaker - Bhavishya Pandit ",,,"Lightning Talk
Orchestrating Synthetic Minds: Cognitive Architectures in the Age of LLMs
Speaker - Mahati Chandramohan",,,,,,,,,,,
,,,,,,,,4:15 - 4:35,,,Panel,,,,,,,,
,,,,,,,,Know your community ,,,AI & Agents,,,,,,,,
,,,,,,,,,,,Android,,,,,,,,
,,,,,,,,,,,Cloud,,,,,,,,
,,5 - 5:15,Closing Note,,,,,,,,Others - Security / Web / UX ,,,,,,,,
,,,,,,,,,,,Lightning Talk,,,,,,,,
,,,,,,,,,,,Workshop,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Checks and Privacy Sandbox - An Interesting Duo
,,,,,,,,,,,,,,,,,,,Solutions Mindset: Exploring new technologiesFrom Developer to Solutionist: Reclaiming Purpose in the Age of AI
,,,,,,,,,,,,,,,,,,,Building NanoAgents: Create and Deploy Custom Agentic Framework similar to Langchain and Langgraph and submit to PyPi
,,,,,,,,,,,,,,,,,,,Make Me Productive: Building a Chrome Extension to Stay Focused on YouTube
,,,,,,,,,,,,,,,,,,,Orchestrating Synthetic Minds: Cognitive Architectures in the Age of LLMs